Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
114,Luis Díaz,co COL,"FW,MF",Liverpool,26-303,1997,10,8,632,7,3,0,3,3,0,0,0,0,2.8,2.8,0.7,3.5,27,20,71,0.43,0,0.43,0.43,0.43,0.4,0.1,0.5,0.4,0.5
115,Eric Dier,eng ENG,DF,Tottenham,29-301,1994,2,1,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
116,Lucas Digne,fr FRA,DF,Aston Villa,30-115,1993,11,11,980,10.9,0,2,2,0,0,0,4,0,0.2,0.2,2,2.2,19,40,124,0,0.18,0.18,0,0.18,0.02,0.18,0.2,0.02,0.2
117,Issa Diop,fr FRA,DF,Fulham,26-307,1997,8,8,700,7.8,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,9,45,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
118,Axel Disasi,fr FRA,DF,Chelsea,25-246,1998,10,10,876,9.7,1,0,1,1,0,0,2,0,0.8,0.8,0.2,1,9,47,7,0.1,0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1
119,Ben Doak,sct SCO,FW,Liverpool,18-001,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Lewis Dobbin,eng ENG,MF,Everton,20-313,2003,3,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,0,6,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
121,Matt Doherty,ie IRL,"MF,DF",Wolves,31-300,1992,6,1,252,2.8,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,1,4,14,0,0,0,0,0,0.06,0.18,0.24,0.06,0.24
122,Jeremy Doku,be BEL,"FW,DF",Manchester City,21-169,2002,8,6,495,5.5,2,5,7,2,0,0,1,0,0.5,0.5,1.9,2.4,62,15,80,0.36,0.91,1.27,0.36,1.27,0.09,0.34,0.43,0.09,0.43
123,Nicolás Domínguez,ar ARG,MF,Nott'ham Forest,25-137,1998,6,6,490,5.4,1,0,1,1,0,0,1,0,0.5,0.5,0,0.5,3,29,17,0.18,0,0.18,0.18,0.18,0.1,0,0.1,0.1,0.1
124,Gabriel Dos Santos,br BRA,DF,Arsenal,25-328,1997,10,8,746,8.3,0,0,0,0,0,0,1,0,0.3,0.3,0,0.4,4,30,4,0,0,0,0,0,0.04,0,0.04,0.04,0.04
125,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30-315,1993,12,12,"1,036",11.5,4,0,4,4,0,0,3,0,4.2,4.2,1.6,5.7,26,33,61,0.35,0,0.35,0.35,0.35,0.36,0.14,0.5,0.36,0.5
126,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-308,2000,10,10,866,9.6,0,0,0,0,0,0,2,0,0.3,0.3,0.6,0.9,8,43,3,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
127,Alfie Doughty,eng ENG,"DF,MF",Luton Town,23-326,1999,12,9,805,8.9,0,1,1,0,0,0,1,0,0.2,0.2,1.7,1.9,19,36,41,0,0.11,0.11,0,0.11,0.03,0.19,0.22,0.03,0.22
128,Tommy Doyle,eng ENG,MF,Wolves,22-026,2001,6,1,170,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,16,5,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
129,Lewis Dunk,eng ENG,DF,Brighton,31-356,1991,11,11,990,11,1,0,1,1,0,0,3,0,1.5,1.5,0.1,1.6,18,61,5,0.09,0,0.09,0.09,0.09,0.14,0.01,0.15,0.14,0.15
130,Jhon Durán,co COL,"FW,MF",Aston Villa,19-334,2003,6,0,73,0.8,2,0,2,2,0,0,2,0,0.7,0.7,0,0.7,4,2,4,2.47,0,2.47,2.47,2.47,0.9,0.02,0.91,0.9,0.91
131,Ederson,br BRA,GK,Manchester City,30-087,1993,10,10,900,10,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01
132,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25-300,1998,11,11,942,10.5,5,0,5,5,0,0,2,0,3.8,3.8,0.7,4.6,21,17,54,0.48,0,0.48,0.48,0.48,0.37,0.07,0.44,0.37,0.44
133,John Egan,ie IRL,DF,Sheffield Utd,31-023,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,5,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03
134,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21-199,2002,11,5,565,6.3,1,3,4,1,0,0,0,0,1,1,1.9,2.9,31,13,49,0.16,0.48,0.64,0.16,0.64,0.16,0.29,0.46,0.16,0.46
135,Harvey Elliott,eng ENG,MF,Liverpool,20-222,2003,9,1,254,2.8,0,1,1,0,0,0,1,0,0.3,0.3,0.8,1.1,10,21,25,0,0.35,0.35,0,0.35,0.11,0.29,0.39,0.11,0.39
136,Mohamed Elneny,eg EGY,MF,Arsenal,31-124,1992,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Emerson,br BRA,DF,Tottenham,24-302,1999,9,2,330,3.7,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,14,15,10,0.27,0,0.27,0.27,0.27,0.01,0,0.01,0.01,0.01
138,Wataru Endo,jp JPN,"MF,FW",Liverpool,30-276,1993,6,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
139,Christian Eriksen,dk DEN,MF,Manchester Utd,31-271,1992,11,6,607,6.7,1,1,2,1,0,0,0,0,0.4,0.4,1,1.4,14,32,15,0.15,0.15,0.3,0.15,0.3,0.06,0.15,0.21,0.06,0.21
140,Pervis Estupiñán,ec ECU,DF,Brighton,25-295,1998,6,6,495,5.5,1,3,4,1,0,0,2,0,0.9,0.9,2.8,3.6,22,41,36,0.18,0.55,0.73,0.18,0.73,0.16,0.5,0.66,0.16,0.66
141,Jonny Evans,nir NIR,DF,Manchester Utd,35-313,1988,6,5,448,5,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.2,1,12,0,0,0.2,0.2,0,0.2,0.01,0.03,0.04,0.01,0.04
142,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25-136,1998,9,8,750,8.3,2,1,3,1,1,1,2,0,3.2,2.4,1.8,4.2,24,31,48,0.24,0.12,0.36,0.12,0.24,0.38,0.22,0.6,0.29,0.51
143,Ansu Fati,es ESP,"MF,FW",Brighton,21-012,2002,7,0,200,2.2,2,0,2,2,0,0,1,0,2.2,2.2,0.4,2.5,7,18,13,0.9,0,0.9,0.9,0.9,0.97,0.16,1.13,0.97,1.13
144,Evan Ferguson,ie IRL,FW,Brighton,19-024,2004,11,7,581,6.5,5,0,5,5,0,0,0,0,2.7,2.7,0.5,3.2,7,9,23,0.77,0,0.77,0.77,0.77,0.42,0.07,0.49,0.42,0.49
145,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,29-065,1994,12,12,"1,080",12,3,2,5,2,1,1,4,0,3.5,2.7,4,6.7,19,108,69,0.25,0.17,0.42,0.17,0.33,0.29,0.33,0.62,0.23,0.56
146,Enzo Fernández,ar ARG,MF,Chelsea,22-299,2001,10,10,833,9.3,0,0,0,0,0,1,3,0,2.3,1.5,1.1,2.7,24,90,25,0,0,0,0,0,0.25,0.12,0.37,0.16,0.29
147,John Fleck,sct SCO,MF,Sheffield Utd,32-080,1991,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
148,Mark Flekken,nl NED,GK,Brentford,30-152,1993,10,10,855,9.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,Phil Foden,eng ENG,"FW,MF",Manchester City,23-168,2000,11,9,831,9.2,3,3,6,3,0,0,1,0,2.6,2.6,1.7,4.3,18,47,71,0.32,0.32,0.65,0.32,0.65,0.28,0.19,0.47,0.28,0.47
150,Wes Foderingham,eng ENG,GK,Sheffield Utd,32-302,1991,11,11,990,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Pablo Fornals,es ESP,"MF,FW",West Ham,27-263,1996,8,1,172,1.9,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,12,12,0,0,0,0,0,0.15,0.06,0.21,0.15,0.21
152,Lyle Foster,za RSA,"FW,MF",Burnley,23-070,2000,7,7,607,6.7,3,2,5,3,0,0,0,1,1.6,1.6,1.2,2.7,18,7,29,0.44,0.3,0.74,0.44,0.74,0.23,0.17,0.4,0.23,0.4
153,Matheus França,br BRA,"FW,MF",Crystal Palace,19-225,2004,2,0,33,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,1,2,0,0,0,0,0,0.22,0.85,1.08,0.22,1.08
154,Cody Gakpo,nl NED,"FW,MF",Liverpool,24-189,1999,9,5,378,4.2,2,0,2,2,0,0,0,0,2.5,2.5,0.2,2.7,7,19,28,0.48,0,0.48,0.48,0.48,0.59,0.05,0.64,0.59,0.64
155,Conor Gallagher,eng ENG,MF,Chelsea,23-279,2000,11,11,945,10.5,0,3,3,0,0,0,1,0,0.7,0.7,1.6,2.3,19,58,35,0,0.29,0.29,0,0.29,0.07,0.15,0.22,0.07,0.22
156,Idrissa Gana Gueye,sn SEN,MF,Everton,34-047,1989,9,8,674,7.5,1,0,1,1,0,0,2,0,0.4,0.4,0.5,0.9,14,27,11,0.13,0,0.13,0.13,0.13,0.05,0.07,0.13,0.05,0.13
157,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,19-134,2004,10,4,404,4.5,0,0,0,0,0,0,1,0,0.8,0.8,0.7,1.5,32,15,56,0,0,0,0,0,0.18,0.16,0.34,0.18,0.34
158,James Garner,eng ENG,MF,Everton,22-244,2001,12,11,977,10.9,1,1,2,1,0,0,2,0,1.3,1.3,1.9,3.2,13,33,26,0.09,0.09,0.18,0.09,0.18,0.12,0.18,0.29,0.12,0.29
159,Saman Ghoddos,ir IRN,"DF,MF",Brentford,30-067,1993,6,0,64,0.7,1,0,1,1,0,0,3,0,0.1,0.1,0.3,0.4,4,7,2,1.41,0,1.41,1.41,1.41,0.14,0.46,0.6,0.14,0.6
160,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23-289,2000,11,10,923,10.3,0,1,1,0,0,0,3,0,1.2,1.2,2,3.3,24,38,54,0,0.1,0.1,0,0.1,0.12,0.2,0.32,0.12,0.32
161,Bryan Gil,es ESP,"FW,MF",Tottenham,22-274,2001,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
162,Billy Gilmour,sct SCO,MF,Brighton,22-154,2001,10,6,548,6.1,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,8,48,12,0,0.16,0.16,0,0.16,0.05,0.24,0.29,0.05,0.29
163,Ben Godfrey,eng ENG,DF,Everton,25-301,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,João Gomes,br BRA,MF,Wolves,22-273,2001,11,10,761,8.5,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,5,24,5,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08
165,Toti Gomes,pt POR,DF,Wolves,24-300,1999,9,6,585,6.5,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,6,18,0,0,0.15,0.15,0,0.15,0.02,0.05,0.08,0.02,0.08
166,Joe Gomez,eng ENG,DF,Liverpool,26-173,1997,10,5,505,5.6,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,9,26,31,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08
167,Sergio Gómez,es ESP,FW,Manchester City,23-069,2000,2,0,16,0.2,0,1,1,0,0,0,0,0,0,0,0.2,0.2,3,1,2,0,5.63,5.63,0,5.63,0,1.06,1.06,0,1.06
168,Anthony Gordon,eng ENG,FW,Newcastle Utd,22-261,2001,11,10,881,9.8,4,2,6,4,0,0,6,0,3.3,3.3,1.7,5,40,29,70,0.41,0.2,0.61,0.41,0.61,0.34,0.17,0.51,0.34,0.51
169,Ryan Gravenberch,nl NED,MF,Liverpool,21-180,2002,7,3,272,3,0,0,0,0,0,0,0,0,0.8,0.8,0.3,1.1,10,23,19,0,0,0,0,0,0.26,0.1,0.36,0.26,0.36
170,Jack Grealish,eng ENG,FW,Manchester City,28-063,1995,6,3,297,3.3,0,1,1,0,0,0,2,0,0.6,0.6,1,1.6,23,14,45,0,0.3,0.3,0,0.3,0.17,0.3,0.48,0.17,0.48
171,Pascal Groß,de GER,"MF,DF",Brighton,32-150,1991,9,9,798,8.9,2,1,3,2,0,0,1,0,1.4,1.4,1.4,2.8,21,78,42,0.23,0.11,0.34,0.23,0.34,0.16,0.16,0.32,0.16,0.32
172,Marc Guéhi,eng ENG,DF,Crystal Palace,23-122,2000,11,11,989,11,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,8,27,1,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07
173,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-361,1997,11,11,952,10.6,1,1,2,1,0,0,5,0,1,1,1.2,2.2,19,70,15,0.09,0.09,0.19,0.09,0.19,0.09,0.12,0.21,0.09,0.21
174,Malo Gusto,fr FRA,DF,Chelsea,20-177,2003,8,6,514,5.7,0,2,2,0,0,0,1,1,0.1,0.1,0.6,0.7,27,23,38,0,0.35,0.35,0,0.35,0.02,0.1,0.12,0.02,0.12
175,Joško Gvardiol,hr CRO,DF,Manchester City,21-293,2002,8,7,641,7.1,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,18,40,15,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12
176,Erling Haaland,no NOR,FW,Manchester City,23-114,2000,11,11,933,10.4,11,2,13,9,2,3,0,0,10.6,8.3,2.5,10.8,7,8,44,1.06,0.19,1.25,0.87,1.06,1.02,0.24,1.27,0.8,1.04
177,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19-237,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Lewis Hall,eng ENG,DF,Newcastle Utd,19-065,2004,2,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
179,Gustavo Hamer,nl NED,MF,Sheffield Utd,26-141,1997,10,10,812,9,2,0,2,2,0,0,2,0,0.8,0.8,0.7,1.5,12,37,20,0.22,0,0.22,0.22,0.22,0.08,0.08,0.16,0.08,0.16
180,Luke Harris,wls WAL,MF,Fulham,18-223,2005,1,0,75,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,1,0,0,0,0,0,0,0.33,0,0.33,0.33,0.33
181,Jack Harrison,eng ENG,MF,Everton,26-357,1996,6,5,437,4.9,1,3,4,1,0,0,0,0,0.5,0.5,1.3,1.8,11,8,20,0.21,0.62,0.82,0.21,0.82,0.1,0.27,0.37,0.1,0.37
182,Kai Havertz,de GER,MF,Arsenal,24-154,1999,12,8,714,7.9,1,1,2,0,1,1,4,0,2.2,1.4,0.7,2.2,11,35,51,0.13,0.13,0.25,0,0.13,0.28,0.09,0.37,0.18,0.27
183,Jan Paul van Hecke,nl NED,DF,Brighton,23-157,2000,6,4,389,4.3,0,0,0,0,0,0,1,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0
184,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27-290,1996,12,9,774,8.6,6,2,8,6,0,0,3,0,2.6,2.6,2,4.6,17,19,42,0.7,0.23,0.93,0.7,0.93,0.31,0.23,0.54,0.31,0.54
185,Rico Henry,eng ENG,DF,Brentford,26-127,1997,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1,1.1,13,20,12,0,0.22,0.22,0,0.22,0.02,0.22,0.24,0.02,0.24
186,Son Heung-min,kr KOR,FW,Tottenham,31-127,1992,12,12,976,10.8,8,1,9,8,0,0,0,0,4.6,4.6,2.4,7,23,43,96,0.74,0.09,0.83,0.74,0.83,0.42,0.22,0.65,0.42,0.65
187,Aaron Hickey,sct SCO,DF,Brentford,21-155,2002,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
188,James Hill,eng ENG,DF,Bournemouth,21-306,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
189,Jack Hinshelwood,eng ENG,MF,Brighton,18-215,2005,1,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,3,1,0,0,0,0,0,0,0.08,0.08,0,0.08
190,Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,23-005,2000,4,3,229,2.5,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.4,18,8,25,0.39,0,0.39,0.39,0.39,0.05,0.09,0.14,0.05,0.14
191,Will Hughes,eng ENG,MF,Crystal Palace,28-209,1995,9,8,677,7.5,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,5,22,5,0,0,0,0,0,0.02,0.07,0.1,0.02,0.1
192,Pierre Højbjerg,dk DEN,"MF,DF",Tottenham,28-099,1995,11,2,382,4.2,0,0,0,0,0,0,3,0,0.1,0.1,0,0.2,6,32,9,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
193,Rasmus Højlund,dk DEN,FW,Manchester Utd,20-281,2003,9,8,647,7.2,0,0,0,0,0,0,0,0,2.4,2.4,0.3,2.8,9,10,47,0,0,0,0,0,0.34,0.05,0.39,0.34,0.39
194,Igor,br BRA,DF,Brighton,25-278,1998,4,3,243,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,11,0,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1
195,Danny Ings,eng ENG,FW,West Ham,31-112,1992,8,0,76,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,1,7,0,0,0,0,0,0.15,0,0.15,0.15,0.15
196,Alexander Isak,se SWE,FW,Newcastle Utd,24-052,1999,8,6,492,5.5,6,0,6,5,1,1,0,0,5.4,4.6,0.3,4.9,13,10,24,1.1,0,1.1,0.91,0.91,0.99,0.05,1.04,0.84,0.9
197,Alex Iwobi,ng NGA,MF,Everton,27-193,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8,0,0,0,0,0,0.21,0.14,0.35,0.21,0.35
198,Alex Iwobi,ng NGA,"MF,FW",Fulham,27-193,1996,7,3,382,4.2,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1,12,23,17,0,0,0,0,0,0.14,0.11,0.24,0.14,0.24
199,Nicolas Jackson,sn SEN,FW,Chelsea,22-145,2001,10,8,759,8.4,5,0,5,5,0,0,6,0,7.1,7.1,0.6,7.7,21,14,58,0.59,0,0.59,0.59,0.59,0.84,0.07,0.91,0.84,0.91
200,Reece James,eng ENG,DF,Chelsea,23-339,1999,4,2,182,2,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1,11,15,25,0,0,0,0,0,0.07,0.42,0.49,0.07,0.49
201,Vitaly Janelt,de GER,"MF,DF",Brentford,25-186,1998,11,11,882,9.8,0,1,1,0,0,0,2,0,0.6,0.6,1,1.6,7,37,34,0,0.1,0.1,0,0.1,0.06,0.1,0.16,0.06,0.16
202,Mathias Jensen,dk DEN,MF,Brentford,27-315,1996,11,11,834,9.3,3,2,5,3,0,0,2,0,0.4,0.4,1.8,2.2,6,47,32,0.32,0.22,0.54,0.32,0.54,0.04,0.19,0.24,0.04,0.24
203,Gabriel Jesus,br BRA,FW,Arsenal,26-223,1997,7,4,364,4,1,0,1,1,0,0,2,0,1.8,1.8,0.2,2,11,11,27,0.25,0,0.25,0.25,0.25,0.44,0.05,0.49,0.44,0.49
204,Raúl Jiménez,mx MEX,FW,Fulham,32-191,1991,10,8,607,6.7,0,0,0,0,0,0,2,0,1.1,1.1,0.8,1.9,5,6,40,0,0,0,0,0,0.17,0.12,0.28,0.17,0.28
205,João Pedro,br BRA,"MF,FW",Brighton,22-047,2001,11,4,539,6,2,1,3,1,1,1,1,0,2.9,2.1,1.3,3.4,18,20,48,0.33,0.17,0.5,0.17,0.33,0.48,0.22,0.7,0.35,0.57
206,Joelinton,br BRA,"MF,FW",Newcastle Utd,27-090,1996,9,8,637,7.1,0,1,1,0,0,0,1,0,0.8,0.8,1.2,1.9,9,25,27,0,0.14,0.14,0,0.14,0.11,0.17,0.27,0.11,0.27
207,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23-290,2000,6,3,286,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,9,21,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08
208,Brennan Johnson,wls WAL,FW,Tottenham,22-173,2001,6,3,217,2.4,1,1,2,1,0,0,1,0,1,1,0.9,1.9,14,8,33,0.41,0.41,0.83,0.41,0.83,0.41,0.38,0.79,0.41,0.79
209,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22-173,2001,3,3,237,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,1,14,0,0,0,0,0,0.12,0.08,0.21,0.12,0.21
210,Sam Johnstone,eng ENG,GK,Crystal Palace,30-232,1993,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Curtis Jones,eng ENG,MF,Liverpool,22-286,2001,5,4,280,3.1,0,0,0,0,0,0,1,1,0.1,0.1,0,0.1,2,19,24,0,0,0,0,0,0.03,0,0.03,0.03,0.03
212,Jorginho,it ITA,MF,Arsenal,31-327,1991,9,4,384,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,36,2,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
213,Diogo Jota,pt POR,"FW,MF",Liverpool,26-343,1996,10,6,499,5.5,3,0,3,3,0,0,3,1,2.8,2.8,0.5,3.3,28,9,59,0.54,0,0.54,0.54,0.54,0.5,0.1,0.6,0.5,0.6
214,Mads Juel Andersen,dk DEN,DF,Luton Town,25-320,1997,6,4,372,4.1,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,7,1,0.24,0,0.24,0.24,0.24,0.06,0,0.06,0.06,0.06
215,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23-269,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,3,4,0,0,0,0,0,0.34,0.07,0.41,0.34,0.41
216,Mathias Jørgensen,dk DEN,DF,Brentford,33-203,1990,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1,1,0,0,0,0,0,0,4.48,4.48,0,4.48
217,Issa Kaboré,bf BFA,"DF,MF",Luton Town,22-184,2001,11,9,779,8.7,0,1,1,0,0,0,4,0,0.2,0.2,1.5,1.8,28,22,31,0,0.12,0.12,0,0.12,0.03,0.18,0.2,0.03,0.2
218,Sasa Kalajdzic,at AUT,FW,Wolves,26-128,1997,8,1,135,1.5,2,0,2,2,0,0,0,0,1.1,1.1,0.9,2,1,5,8,1.33,0,1.33,1.33,1.33,0.7,0.63,1.33,0.7,1.33
219,Boubacar Kamara,fr FRA,MF,Aston Villa,23-354,1999,11,11,921,10.2,0,0,0,0,0,0,4,0,0.1,0.1,0.8,0.8,10,49,3,0,0,0,0,0,0.01,0.08,0.08,0.01,0.08
220,Thomas Kaminski,be BEL,GK,Luton Town,31-020,1992,12,12,"1,080",12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Michael Keane,eng ENG,DF,Everton,30-305,1993,4,2,226,2.5,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
222,Thilo Kehrer,de GER,"DF,MF",West Ham,27-052,1996,3,0,21,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
223,Lloyd Kelly,eng ENG,DF,Bournemouth,25-037,1998,8,7,637,7.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,25,5,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
224,Milos Kerkez,hu HUN,DF,Bournemouth,20-005,2003,11,10,854,9.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,17,15,35,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
225,Max Kilman,eng ENG,DF,Wolves,26-173,1997,12,12,"1,080",12,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,11,38,1,0,0,0,0,0,0.04,0.04,0.07,0.04,0.07
226,Jakub Kiwior,pl POL,DF,Arsenal,23-270,2000,4,2,184,2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,16,4,0,0,0,0,0,0.21,0,0.21,0.21,0.21
227,Justin Kluivert,nl NED,"FW,MF",Bournemouth,24-191,1999,9,5,410,4.6,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,11,15,28,0,0,0,0,0,0.08,0.05,0.14,0.08,0.14
228,Luca Koleosho,it ITA,"FW,MF",Burnley,19-058,2004,12,10,783,8.7,0,1,1,0,0,0,0,0,1.5,1.5,1.2,2.7,44,16,65,0,0.11,0.11,0,0.11,0.17,0.14,0.31,0.17,0.31
229,Ibrahima Konaté,fr FRA,DF,Liverpool,24-171,1999,8,5,469,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,8,34,0,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05
230,Ezri Konsa,eng ENG,DF,Aston Villa,26-020,1997,11,11,990,11,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,5,33,8,0,0,0,0,0,0.06,0,0.06,0.06,0.06
231,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-326,1989,7,0,76,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,1,0,0,0,0,0,0.09,0.05,0.14,0.09,0.14
232,Mateo Kovačić,hr CRO,MF,Manchester City,29-190,1994,8,6,551,6.1,0,0,0,0,0,0,2,0,0.6,0.6,0.7,1.3,14,36,17,0,0,0,0,0,0.1,0.12,0.21,0.1,0.21
233,Emil Krafth,se SWE,MF,Newcastle Utd,29-102,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Dejan Kulusevski,se SWE,FW,Tottenham,23-201,2000,12,12,"1,040",11.6,3,0,3,3,0,0,1,0,1.2,1.2,2.6,3.8,70,40,137,0.26,0,0.26,0.26,0.26,0.11,0.22,0.33,0.11,0.33
235,Adam Lallana,eng ENG,"MF,FW",Brighton,35-186,1988,6,3,216,2.4,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,9,18,0,0,0,0,0,0,0.09,0.09,0,0.09
236,Tariq Lamptey,gh GHA,"DF,FW",Brighton,23-043,2000,4,1,139,1.5,0,2,2,0,0,0,2,0,0,0,0.4,0.4,11,6,3,0,1.29,1.29,0,1.29,0.01,0.25,0.26,0.01,0.26
