Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,Drib_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,Drib_gca,Sh_gca,Fld_gca,Def_gca,Pass SCA Ratio,Deadball SCA Ratio,Dribble SCA Ratio,Shot SCA Ratio,Fouls Drawn SCA Ratio,Defense SCA Ratio,Cluster
522,Leandro Trossard,be BEL,FW,Arsenal,27,1994,10.3,34,3.29,23,7,1,1,2,0,9,0.87,8,1,0,0,0,0,0.6764705882352942,0.20588235294117646,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.0,1
523,Leandro Trossard,be BEL,FW,Brighton,27,1994,14.6,51,3.49,39,0,7,4,1,0,9,0.62,5,0,3,0,1,0,0.7647058823529411,0.0,0.13725490196078433,0.0784313725490196,0.0196078431372549,0.0,5
529,Jamie Vardy,eng ENG,FW,Leicester City,35,1987,20.6,34,1.65,23,0,6,3,2,0,7,0.34,5,0,1,0,1,0,0.6764705882352942,0.0,0.17647058823529413,0.08823529411764706,0.058823529411764705,0.0,0
530,Joël Veltman,nl NED,DF,Brighton,30,1992,24.3,36,1.48,30,4,0,1,0,1,4,0.16,3,0,0,1,0,0,0.8333333333333334,0.1111111111111111,0.0,0.027777777777777776,0.0,0.027777777777777776,3
537,Kyle Walker-Peters,eng ENG,DF,Southampton,25,1997,29.4,53,1.8,33,4,8,3,4,1,3,0.1,1,1,0,0,0,1,0.6226415094339622,0.07547169811320754,0.1509433962264151,0.05660377358490566,0.07547169811320754,0.018867924528301886,0
541,James Ward-Prowse,eng ENG,MF,Southampton,27,1994,37.5,127,3.39,62,59,1,3,1,1,9,0.24,3,3,1,2,0,0,0.4881889763779528,0.4645669291338583,0.007874015748031496,0.023622047244094488,0.007874015748031496,0.007874015748031496,4
542,Ollie Watkins,eng ENG,FW,Aston Villa,26,1995,34.7,79,2.27,51,0,6,11,11,0,14,0.4,6,0,2,5,1,0,0.6455696202531646,0.0,0.0759493670886076,0.13924050632911392,0.13924050632911392,0.0,0
545,Danny Welbeck,eng ENG,FW,Brighton,31,1990,20.6,65,3.16,49,0,5,6,4,1,9,0.44,5,0,1,1,2,0,0.7538461538461538,0.0,0.07692307692307693,0.09230769230769231,0.06153846153846154,0.015384615384615385,5
546,Ben White,eng ENG,DF,Arsenal,24,1997,33.9,64,1.89,56,7,0,0,1,0,13,0.38,12,1,0,0,0,0,0.875,0.109375,0.0,0.0,0.015625,0.0,3
549,Neco Williams,wls WAL,DF,Nott'ham Forest,21,2001,20.9,39,1.86,23,4,4,2,3,3,2,0.1,1,0,0,1,0,0,0.5897435897435898,0.10256410256410256,0.10256410256410256,0.05128205128205128,0.07692307692307693,0.07692307692307693,2
550,Willian,br BRA,FW,Fulham,33,1988,23.6,105,4.44,71,16,5,8,4,1,12,0.51,7,3,1,1,0,0,0.6761904761904762,0.1523809523809524,0.047619047619047616,0.0761904761904762,0.0380952380952381,0.009523809523809525,1
551,Joe Willock,eng ENG,MF,Newcastle Utd,22,1999,28.4,85,2.99,67,0,7,7,3,1,9,0.32,6,0,1,1,1,0,0.788235294117647,0.0,0.08235294117647059,0.08235294117647059,0.03529411764705882,0.011764705882352941,5
552,Callum Wilson,eng ENG,FW,Newcastle Utd,30,1992,20.9,43,2.06,24,0,6,7,6,0,10,0.48,5,0,3,2,0,0,0.5581395348837209,0.0,0.13953488372093023,0.16279069767441862,0.13953488372093023,0.0,2
553,Harry Wilson,wls WAL,FW,Fulham,25,1997,12.2,32,2.62,18,2,1,3,8,0,9,0.74,4,0,0,1,4,0,0.5625,0.0625,0.03125,0.09375,0.25,0.0,2
554,Yoane Wissa,cd COD,FW,Brentford,25,1996,17.8,36,2.02,29,0,1,2,3,1,6,0.34,4,0,0,0,1,1,0.8055555555555556,0.0,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.027777777777777776,5
559,Granit Xhaka,ch SUI,MF,Arsenal,29,1992,33.3,110,3.31,94,3,5,4,3,1,17,0.51,16,0,0,1,0,0,0.8545454545454545,0.02727272727272727,0.045454545454545456,0.03636363636363636,0.02727272727272727,0.00909090909090909,3
561,Ashley Young,eng ENG,DF,Aston Villa,37,1985,22.6,40,1.77,34,3,2,1,0,0,2,0.09,2,0,0,0,0,0,0.85,0.075,0.05,0.025,0.0,0.0,3
563,Wilfried Zaha,ci CIV,FW,Crystal Palace,29,1992,25.4,91,3.58,57,0,12,4,17,1,7,0.28,6,0,0,1,0,0,0.6263736263736264,0.0,0.13186813186813187,0.04395604395604396,0.18681318681318682,0.01098901098901099,2
565,Jordan Zemura,zw ZIM,DF,Bournemouth,22,1999,16.2,35,2.17,25,0,6,2,2,0,2,0.12,2,0,0,0,0,0,0.7142857142857143,0.0,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.0,0
566,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,1996,23.5,56,2.38,49,1,0,4,1,1,4,0.17,3,0,0,1,0,0,0.875,0.017857142857142856,0.0,0.07142857142857142,0.017857142857142856,0.017857142857142856,3
567,Hakim Ziyech,ma MAR,FW,Chelsea,29,1993,7.3,32,4.36,25,4,1,0,1,1,3,0.41,2,1,0,0,0,0,0.78125,0.125,0.03125,0.0,0.03125,0.03125,5
569,Martin Ødegaard,no NOR,MF,Arsenal,23,1998,34.7,163,4.69,123,15,4,12,6,3,17,0.49,15,0,0,2,0,0,0.754601226993865,0.09202453987730061,0.024539877300613498,0.0736196319018405,0.03680981595092025,0.018404907975460124,5
